scenario_name,experiment_id,tier,seed,model,bin_low,bin_high,count,mean_pred,mean_outcome,prior_n_ml_eff,prior_n_str
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,uncorrected,0.0,0.8828448273555464,3,0.8809195399992245,0.6666666666666666,200.0,200.0
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,uncorrected,0.8828448273555464,0.8846551721831325,2,0.8833620687348567,0.5,200.0,200.0
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,uncorrected,0.8846551721831325,0.8855172411486498,3,0.8846551721831325,0.3333333333333333,200.0,200.0
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,uncorrected,0.8855172411486498,0.8865517239072704,4,0.8855172411486498,0.25,200.0,200.0
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,uncorrected,0.8865517239072704,0.8885344825279602,3,0.8878160917233625,0.0,200.0,200.0
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,uncorrected,0.8885344825279602,0.8889655170107188,0,0.0,0.0,200.0,200.0
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,uncorrected,0.8889655170107188,0.889827585976236,4,0.8889655170107188,0.25,200.0,200.0
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,uncorrected,0.889827585976236,0.8925862066658912,5,0.8906896549417533,0.8,200.0,200.0
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,uncorrected,0.8925862066658912,0.8941379308038222,2,0.893275861838305,0.5,200.0,200.0
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,uncorrected,0.8941379308038222,1.0,4,0.8958620687348567,1.0,200.0,200.0
